Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol
2019-01-02 00:00:00-05:00,39.55414550911537,40.853685226376015,39.390628679761946,40.518043518066406,18774600,0.0,0.0,INTC
2019-01-03 00:00:00-05:00,39.71767466606544,39.82955307230648,38.20297932593239,38.28904342651367,32267300,0.0,0.0,INTC
2019-01-04 00:00:00-05:00,39.45088006126309,40.939754498863905,39.19269433088897,40.6385383605957,35447300,0.0,0.0,INTC
2019-01-07 00:00:00-05:00,40.53525806973356,41.30981847942657,40.234041956524834,40.8278694152832,22736800,0.0,0.0,INTC
2019-01-08 00:00:00-05:00,41.13769474374753,41.33563723560397,40.25986068224755,41.0860595703125,22749200,0.0,0.0,INTC
2019-01-09 00:00:00-05:00,41.27539381952105,41.80037330040182,41.12048173391657,41.318424224853516,22554500,0.0,0.0,INTC
2019-01-10 00:00:00-05:00,41.09466275869691,41.86922316054626,40.80205141611042,41.79176712036133,27202600,0.0,0.0,INTC
2019-01-11 00:00:00-05:00,41.39587799517054,42.42001931411282,41.352847592200284,42.11019515991211,21751300,0.0,0.0,INTC
2019-01-14 00:00:00-05:00,41.70570707552997,42.02413931774262,41.568007799954934,41.61103820800781,19193900,0.0,0.0,INTC
2019-01-15 00:00:00-05:00,41.92086745682543,42.28233015070375,41.68849928569152,41.82619857788086,22480800,0.0,0.0,INTC
2019-01-16 00:00:00-05:00,41.82619310985628,42.07577407026188,41.37867293100372,41.42170333862305,19057700,0.0,0.0,INTC
2019-01-17 00:00:00-05:00,41.30982424217621,42.03274629773469,41.232368190401736,41.714317321777344,17448700,0.0,0.0,INTC
2019-01-18 00:00:00-05:00,42.26511348848249,42.497481638502805,41.903650827447635,42.333961486816406,29874600,0.0,0.0,INTC
2019-01-22 00:00:00-05:00,42.13601032851807,42.153223145320844,41.19793315232597,41.54218292236328,25940700,0.0,0.0,INTC
2019-01-23 00:00:00-05:00,41.662660164944946,41.99830181102372,40.89670804276345,41.2581672668457,18960700,0.0,0.0,INTC
2019-01-24 00:00:00-05:00,41.91225231317023,43.06548483093417,41.82618822497335,42.82450866699219,50578300,0.0,0.0,INTC
2019-01-25 00:00:00-05:00,40.320099570291234,40.819261413209844,39.37341761835414,40.483619689941406,86455700,0.0,0.0,INTC
2019-01-28 00:00:00-05:00,39.700456889501204,40.21682829648293,39.631605617632,40.199615478515625,35928700,0.0,0.0,INTC
2019-01-29 00:00:00-05:00,40.25985763843036,40.423377763303804,39.87258073490944,40.05331039428711,20988300,0.0,0.0,INTC
2019-01-30 00:00:00-05:00,40.173801785727235,41.0344230694266,39.97585928443754,40.913936614990234,26931700,0.0,0.0,INTC
2019-01-31 00:00:00-05:00,40.191015603301835,40.604113435773556,39.67464085045488,40.55247497558594,43051300,0.0,0.0,INTC
2019-02-01 00:00:00-05:00,40.500828956323964,42.213463056452206,40.45779527618288,41.93806457519531,37442900,0.0,0.0,INTC
2019-02-04 00:00:00-05:00,41.84340840163884,42.37699599327402,41.51637465800291,42.35978317260742,20905000,0.0,0.0,INTC
2019-02-05 00:00:00-05:00,42.32535507717257,43.650712644565786,42.32535507717257,43.039669036865234,31641600,0.0,0.0,INTC
2019-02-06 00:00:00-05:00,43.26052347227067,43.85811509050195,43.14793259794195,43.217220306396484,21647800,0.315,0.0,INTC
2019-02-07 00:00:00-05:00,42.87078485827853,43.17391029837492,42.1606024239217,42.63694381713867,27825900,0.0,0.0,INTC
2019-02-08 00:00:00-05:00,42.238542554916144,42.455061635080476,41.580322701077954,42.29916763305664,18851200,0.0,0.0,INTC
2019-02-11 00:00:00-05:00,42.45505588555881,42.71487808580551,42.07398354545154,42.2385368347168,18004100,0.0,0.0,INTC
2019-02-12 00:00:00-05:00,42.749536992915274,43.42507561239794,42.67158997498884,43.31248474121094,18050100,0.0,0.0,INTC
2019-02-13 00:00:00-05:00,43.41641036006187,44.00534256962563,43.30381950428135,43.71087646484375,17712800,0.0,0.0,INTC
2019-02-14 00:00:00-05:00,43.65891628363554,44.204545404339775,43.606950504200015,44.005348205566406,17545400,0.0,0.0,INTC
2019-02-15 00:00:00-05:00,44.38642106223886,44.750171609988634,44.24784895302661,44.741512298583984,22520400,0.0,0.0,INTC
2019-02-19 00:00:00-05:00,44.473012820608766,44.78480079013832,44.464353512041214,44.516319274902344,15611800,0.0,0.0,INTC
2019-02-20 00:00:00-05:00,44.71552350742421,44.80212982212037,44.22186024525401,44.50766372680664,21607700,0.0,0.0,INTC
2019-02-21 00:00:00-05:00,44.44704306927536,44.897403218918846,44.35177413133662,44.52499008178711,16162100,0.0,0.0,INTC
2019-02-22 00:00:00-05:00,45.64222911104989,45.8847294573586,45.08794071730458,45.46035385131836,31934100,0.0,0.0,INTC
2019-02-25 00:00:00-05:00,45.95401454555717,46.43035590035873,45.78079860640591,45.98865509033203,20711800,0.0,0.0,INTC
2019-02-26 00:00:00-05:00,45.91070801695235,46.22249604621288,45.82410169941075,46.10124588012695,16082200,0.0,0.0,INTC
2019-02-27 00:00:00-05:00,45.69420081855741,46.23117069936982,45.47768166450018,46.109920501708984,17590300,0.0,0.0,INTC
